Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Foot Locker,1185732.00,43855.00,Northeast,New York,New York,Men's Street Footwear,40.00,390.00,1560.00,811.00,Outlet
Foot Locker,1185732.00,43837.00,Northeast,New York,New York,Men's Street Footwear,33.00,388.00,1280.00,666.00,Outlet
Foot Locker,1185732.00,43831.00,Northeast,New York,New York,Men's Street Footwear,34.00,384.00,1306.00,679.00,Outlet
Foot Locker,1185732.00,44234.00,Southeast,Georgia,Atlanta,Men's Street Footwear,31.00,376.00,1166.00,559.00,Outlet
Sports Direct,1197831.00,44430.00,South,Alabama,Birmingham,Women's Athletic Footwear,20.00,375.00,7500.00,4125.00,Outlet
Foot Locker,1185732.00,44245.00,Midwest,Michigan,Detroit,Women's Street Footwear,20.00,375.00,7500.00,2625.00,In-store
West Gear,1185732.00,44419.00,West,Utah,Salt Lake City,Women's Athletic Footwear,20.00,375.00,7500.00,3000.00,In-store
West Gear,1185732.00,44511.00,West,Utah,Salt Lake City,Women's Athletic Footwear,20.00,375.00,7500.00,3000.00,In-store
Foot Locker,1185732.00,44303.00,South,Mississippi,Jackson,Women's Street Footwear,15.00,375.00,5625.00,2250.00,Online
West Gear,1197831.00,44520.00,South,Arkansas,Little Rock,Men's Athletic Footwear,15.00,375.00,5625.00,1969.00,Online
West Gear,1197831.00,44219.00,South,Arkansas,Little Rock,Women's Street Footwear,15.00,375.00,5625.00,2250.00,Online
Foot Locker,1185732.00,43906.00,Northeast,New York,New York,Men's Street Footwear,41.00,375.00,1538.00,800.00,Outlet
Walmart,1197831.00,44069.00,South,Texas,Houston,Women's Street Footwear,29.00,374.00,1085.00,445.00,Outlet
Walmart,1197831.00,44075.00,South,Texas,Houston,Women's Street Footwear,29.00,374.00,1085.00,445.00,Outlet
Foot Locker,1185732.00,43861.00,Northeast,New York,New York,Men's Street Footwear,33.00,372.00,1228.00,663.00,Outlet
Foot Locker,1185732.00,43867.00,Northeast,New York,New York,Men's Street Footwear,44.00,366.00,1610.00,837.00,Outlet
Walmart,1185732.00,43940.00,Northeast,New York,New York,Men's Street Footwear,56.00,360.00,2016.00,1250.00,Online
Foot Locker,1185732.00,43907.00,Northeast,New York,New York,Men's Athletic Footwear,37.00,359.00,1328.00,452.00,Outlet
Walmart,1185732.00,43939.00,Northeast,New York,New York,Women's Apparel,48.00,355.00,1704.00,511.00,Outlet
Foot Locker,1185732.00,43855.00,Northeast,New York,New York,Men's Street Footwear,46.00,354.00,1628.00,1026.00,Online
Foot Locker,1185732.00,43905.00,Northeast,New York,New York,Women's Apparel,47.00,352.00,1654.00,447.00,Outlet
Foot Locker,1185732.00,44272.00,Midwest,Missouri,St. Louis,Women's Street Footwear,25.00,350.00,8750.00,3063.00,In-store
Foot Locker,1185732.00,44365.00,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.00,350.00,8750.00,3500.00,In-store
Foot Locker,1185732.00,44487.00,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25.00,350.00,8750.00,3063.00,In-store
Foot Locker,1185732.00,44518.00,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25.00,350.00,8750.00,3063.00,In-store
West Gear,1185732.00,44328.00,West,Utah,Salt Lake City,Women's Street Footwear,25.00,350.00,8750.00,3063.00,In-store
West Gear,1185732.00,44451.00,West,Utah,Salt Lake City,Women's Street Footwear,10.00,350.00,3500.00,1225.00,In-store
Amazon,1185732.00,44296.00,Midwest,Ohio,Columbus,Women's Athletic Footwear,25.00,350.00,8750.00,3500.00,Online
Walmart,1185732.00,44487.00,South,Mississippi,Jackson,Women's Athletic Footwear,25.00,350.00,8750.00,3500.00,Online
Sports Direct,1197831.00,44248.00,South,Mississippi,Jackson,Men's Athletic Footwear,25.00,350.00,8750.00,3063.00,Online
Walmart,1197831.00,44274.00,South,Arkansas,Little Rock,Women's Street Footwear,10.00,350.00,3500.00,1400.00,Online
Walmart,1197831.00,44274.00,South,Arkansas,Little Rock,Women's Apparel,25.00,350.00,8750.00,3500.00,Online
Walmart,1197831.00,44458.00,South,Arkansas,Little Rock,Women's Street Footwear,15.00,350.00,5250.00,2100.00,Online
West Gear,1197831.00,44248.00,South,Oklahoma,Oklahoma City,Women's Apparel,20.00,350.00,7000.00,2800.00,Online
West Gear,1197831.00,44490.00,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,20.00,350.00,7000.00,2450.00,Online
Kohl's,1197831.00,44212.00,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,25.00,350.00,8750.00,3063.00,Online
Kohl's,1197831.00,44212.00,South,Oklahoma,Oklahoma City,Women's Street Footwear,15.00,350.00,5250.00,1838.00,Online
Kohl's,1197831.00,44212.00,South,Oklahoma,Oklahoma City,Women's Apparel,25.00,350.00,8750.00,3063.00,Online
West Gear,1185732.00,44244.00,Northeast,West Virginia,Charleston,Women's Apparel,25.00,350.00,8750.00,3500.00,In-store
Foot Locker,1185732.00,43833.00,Northeast,New York,New York,Women's Street Footwear,32.00,350.00,1120.00,414.00,Outlet
Foot Locker,1185732.00,43854.00,Northeast,New York,New York,Women's Apparel,36.00,350.00,1260.00,365.00,Outlet
Walmart,1185732.00,43941.00,Northeast,New York,New York,Men's Athletic Footwear,43.00,350.00,1505.00,497.00,Outlet
Walmart,1185732.00,43945.00,Northeast,New York,New York,Women's Apparel,45.00,350.00,1575.00,473.00,Outlet
Walmart,1197831.00,44066.00,South,Texas,Houston,Women's Apparel,38.00,350.00,1330.00,758.00,Outlet
Foot Locker,1185732.00,44205.00,Southeast,Georgia,Atlanta,Men's Street Footwear,26.00,349.00,907.00,426.00,Outlet
Foot Locker,1185732.00,43899.00,Northeast,New York,New York,Women's Apparel,46.00,347.00,1596.00,511.00,Outlet
West Gear,1185732.00,44511.00,West,Utah,Salt Lake City,Women's Street Footwear,20.00,345.00,6900.00,2415.00,In-store
West Gear,1128299.00,44202.00,West,California,San Francisco,Men's Street Footwear,41.00,341.00,1398.00,601.00,Outlet
Foot Locker,1185732.00,43895.00,Northeast,New York,New York,Men's Athletic Footwear,41.00,340.00,1394.00,474.00,Outlet
Walmart,1185732.00,44030.00,Northeast,New York,New York,Women's Apparel,48.00,340.00,1632.00,490.00,Outlet
West Gear,1128299.00,44208.00,West,California,San Francisco,Men's Street Footwear,41.00,338.00,1386.00,527.00,Outlet
Foot Locker,1185732.00,43831.00,Northeast,New York,New York,Men's Street Footwear,47.00,336.00,1579.00,963.00,Online
Foot Locker,1185732.00,43866.00,Northeast,New York,New York,Women's Apparel,39.00,333.00,1299.00,351.00,Outlet
Walmart,1185732.00,43956.00,Northeast,New York,New York,Women's Street Footwear,42.00,333.00,1399.00,559.00,Outlet
Walmart,1197831.00,44130.00,South,Texas,Houston,Men's Street Footwear,32.00,333.00,1066.00,426.00,Outlet
Walmart,1197831.00,44131.00,South,Texas,Houston,Men's Athletic Footwear,34.00,333.00,1132.00,476.00,Outlet
West Gear,1128299.00,44239.00,West,California,San Francisco,Men's Athletic Footwear,46.00,332.00,1527.00,321.00,Outlet
Sports Direct,1197831.00,44463.00,South,Texas,Dallas,Women's Street Footwear,35.00,332.00,1162.00,546.00,Outlet
Foot Locker,1185732.00,43836.00,Northeast,New York,New York,Women's Apparel,38.00,330.00,1254.00,401.00,Outlet
Walmart,1185732.00,43947.00,Northeast,New York,New York,Women's Apparel,50.00,330.00,1650.00,462.00,Outlet
Foot Locker,1185732.00,44414.00,Southeast,South Carolina,Charleston,Men's Street Footwear,62.00,326.00,2021.00,1152.00,Online
Foot Locker,1185732.00,44426.00,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.00,325.00,8125.00,3250.00,In-store
Foot Locker,1185732.00,44518.00,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.00,325.00,8125.00,3250.00,In-store
West Gear,1185732.00,44207.00,Midwest,Missouri,St. Louis,Women's Athletic Footwear,20.00,325.00,6500.00,2600.00,In-store
West Gear,1185732.00,44297.00,West,Utah,Salt Lake City,Men's Athletic Footwear,25.00,325.00,8125.00,2844.00,In-store
West Gear,1185732.00,44297.00,West,Utah,Salt Lake City,Women's Street Footwear,15.00,325.00,4875.00,1706.00,In-store
West Gear,1185732.00,44451.00,West,Utah,Salt Lake City,Women's Athletic Footwear,10.00,325.00,3250.00,1300.00,In-store
West Gear,1185732.00,44451.00,West,Utah,Salt Lake City,Men's Apparel,20.00,325.00,6500.00,2275.00,In-store
Amazon,1185732.00,44264.00,Midwest,Ohio,Columbus,Women's Athletic Footwear,25.00,325.00,8125.00,3250.00,Online
Foot Locker,1185732.00,44245.00,South,Mississippi,Jackson,Women's Athletic Footwear,25.00,325.00,8125.00,3250.00,Online
Walmart,1197831.00,44274.00,South,Arkansas,Little Rock,Men's Athletic Footwear,20.00,325.00,6500.00,2275.00,Online
Walmart,1197831.00,44458.00,South,Arkansas,Little Rock,Women's Athletic Footwear,15.00,325.00,4875.00,1950.00,Online
Walmart,1197831.00,44458.00,South,Arkansas,Little Rock,Men's Apparel,25.00,325.00,8125.00,2844.00,Online
West Gear,1197831.00,44248.00,South,Arkansas,Little Rock,Women's Street Footwear,15.00,325.00,4875.00,1950.00,Online
Kohl's,1197831.00,44241.00,Midwest,Kansas,Wichita,Women's Apparel,20.00,325.00,6500.00,2275.00,Online
Kohl's,1197831.00,44483.00,Midwest,Kansas,Wichita,Men's Athletic Footwear,20.00,325.00,6500.00,2275.00,Online
West Gear,1185732.00,44271.00,Northeast,West Virginia,Charleston,Women's Street Footwear,20.00,325.00,6500.00,2600.00,In-store
Foot Locker,1185732.00,43906.00,Northeast,New York,New York,Men's Street Footwear,58.00,325.00,1885.00,1150.00,Online
Foot Locker,1185732.00,43921.00,Northeast,New York,New York,Women's Athletic Footwear,40.00,324.00,1296.00,518.00,Outlet
Sports Direct,1185732.00,43975.00,Southeast,Florida,Miami,Men's Street Footwear,63.00,323.00,2035.00,1140.00,Online
Foot Locker,1185732.00,43851.00,Northeast,New York,New York,Women's Street Footwear,32.00,323.00,1034.00,393.00,Outlet
Foot Locker,1185732.00,43860.00,Northeast,New York,New York,Women's Apparel,36.00,323.00,1163.00,314.00,Outlet
Walmart,1197831.00,44062.00,South,Texas,Houston,Men's Athletic Footwear,33.00,323.00,1066.00,448.00,Outlet
Walmart,1185732.00,43953.00,Northeast,New York,New York,Women's Apparel,53.00,322.00,1707.00,478.00,Outlet
West Gear,1128299.00,44238.00,West,California,San Francisco,Men's Street Footwear,40.00,322.00,1288.00,425.00,Outlet
Sports Direct,1197831.00,44457.00,South,Texas,Dallas,Women's Street Footwear,33.00,322.00,1063.00,446.00,Outlet
Sports Direct,1197831.00,44303.00,South,Tennessee,Knoxville,Women's Street Footwear,30.00,322.00,966.00,483.00,Outlet
Sports Direct,1197831.00,44447.00,South,Alabama,Birmingham,Women's Street Footwear,31.00,322.00,998.00,559.00,Outlet
West Gear,1197831.00,44520.00,South,Arkansas,Little Rock,Women's Street Footwear,25.00,320.00,8000.00,3200.00,Online
Foot Locker,1185732.00,43832.00,Northeast,New York,New York,Men's Athletic Footwear,36.00,320.00,1152.00,403.00,Outlet
Foot Locker,1185732.00,43893.00,Northeast,New York,New York,Women's Apparel,44.00,320.00,1408.00,408.00,Outlet
Foot Locker,1185732.00,43900.00,Northeast,New York,New York,Men's Street Footwear,59.00,319.00,1882.00,1129.00,Online
Walmart,1197831.00,44069.00,South,Texas,Houston,Women's Street Footwear,37.00,319.00,1180.00,531.00,Online
Foot Locker,1185732.00,44055.00,Southeast,Florida,Miami,Men's Street Footwear,43.00,319.00,1372.00,782.00,Online
Foot Locker,1185732.00,43901.00,Northeast,New York,New York,Men's Athletic Footwear,41.00,318.00,1304.00,482.00,Outlet
Foot Locker,1185732.00,43867.00,Northeast,New York,New York,Men's Street Footwear,54.00,317.00,1712.00,1096.00,Online
Foot Locker,1185732.00,43838.00,Northeast,New York,New York,Men's Athletic Footwear,39.00,315.00,1229.00,405.00,Outlet
Foot Locker,1185732.00,43856.00,Northeast,New York,New York,Men's Athletic Footwear,35.00,315.00,1103.00,397.00,Outlet
Foot Locker,1185732.00,43862.00,Northeast,New York,New York,Men's Athletic Footwear,35.00,315.00,1103.00,364.00,Outlet
Foot Locker,1185732.00,43863.00,Northeast,New York,New York,Women's Street Footwear,28.00,315.00,882.00,335.00,Outlet
Walmart,1185732.00,43942.00,Northeast,New York,New York,Women's Street Footwear,36.00,315.00,1134.00,442.00,Outlet
Walmart,1185732.00,43944.00,Northeast,New York,New York,Men's Apparel,44.00,315.00,1386.00,513.00,Outlet
Walmart,1197831.00,44055.00,South,Texas,Houston,Men's Street Footwear,24.00,315.00,756.00,295.00,Outlet
Walmart,1197831.00,44081.00,South,Texas,Houston,Women's Street Footwear,36.00,315.00,1134.00,431.00,Outlet
Kohl's,1189833.00,44341.00,West,California,Los Angeles,Men's Street Footwear,39.00,315.00,1229.00,565.00,Outlet
Foot Locker,1185732.00,43857.00,Northeast,New York,New York,Women's Street Footwear,27.00,314.00,848.00,348.00,Outlet
Foot Locker,1185732.00,43908.00,Northeast,New York,New York,Women's Street Footwear,37.00,314.00,1162.00,430.00,Outlet
Sports Direct,1197831.00,44309.00,South,Tennessee,Knoxville,Women's Street Footwear,39.00,314.00,1225.00,576.00,Outlet
Foot Locker,1185732.00,43837.00,Northeast,New York,New York,Men's Street Footwear,46.00,313.00,1440.00,893.00,Online
Foot Locker,1185732.00,43894.00,Northeast,New York,New York,Men's Street Footwear,55.00,313.00,1722.00,1050.00,Online
Walmart,1185732.00,43954.00,Northeast,New York,New York,Men's Street Footwear,62.00,312.00,1934.00,1238.00,Online
Foot Locker,1185732.00,44234.00,Southeast,Georgia,Atlanta,Men's Street Footwear,38.00,312.00,1186.00,700.00,Online
Walmart,1185732.00,43949.00,Northeast,New York,New York,Men's Athletic Footwear,40.00,312.00,1248.00,449.00,Outlet
Foot Locker,1185732.00,44382.00,Southeast,South Carolina,Charleston,Men's Street Footwear,63.00,311.00,1959.00,1156.00,Online
Walmart,1185732.00,43955.00,Northeast,New York,New York,Men's Athletic Footwear,43.00,310.00,1333.00,467.00,Outlet
Foot Locker,1185732.00,43907.00,Northeast,New York,New York,Men's Athletic Footwear,53.00,308.00,1632.00,669.00,Online
Sports Direct,1185732.00,44411.00,Southeast,North Carolina,Charlotte,Men's Street Footwear,61.00,308.00,1879.00,996.00,Online
Foot Locker,1185732.00,43835.00,Northeast,New York,New York,Men's Apparel,43.00,306.00,1316.00,487.00,Outlet
Foot Locker,1185732.00,43853.00,Northeast,New York,New York,Men's Apparel,43.00,306.00,1316.00,461.00,Outlet
Walmart,1185732.00,43943.00,Northeast,New York,New York,Women's Athletic Footwear,34.00,306.00,1040.00,406.00,Outlet
Walmart,1185732.00,43957.00,Northeast,New York,New York,Women's Athletic Footwear,41.00,306.00,1255.00,502.00,Outlet
Sports Direct,1197831.00,44043.00,South,Texas,Houston,Men's Street Footwear,20.00,306.00,612.00,257.00,Outlet
Sports Direct,1197831.00,44049.00,South,Texas,Houston,Men's Street Footwear,23.00,306.00,704.00,260.00,Outlet
Sports Direct,1197831.00,44050.00,South,Texas,Houston,Men's Athletic Footwear,29.00,306.00,887.00,364.00,Outlet
Walmart,1197831.00,44125.00,South,Texas,Houston,Men's Athletic Footwear,31.00,306.00,949.00,379.00,Outlet
Walmart,1197831.00,44135.00,South,Texas,Houston,Women's Apparel,41.00,306.00,1255.00,690.00,Outlet
West Gear,1128299.00,44207.00,West,California,San Francisco,Women's Apparel,60.00,306.00,1836.00,477.00,Outlet
West Gear,1128299.00,44233.00,West,California,San Francisco,Men's Athletic Footwear,46.00,306.00,1408.00,282.00,Outlet
Kohl's,1189833.00,44317.00,West,California,Los Angeles,Men's Street Footwear,36.00,306.00,1102.00,496.00,Outlet
Sports Direct,1197831.00,44300.00,South,Tennessee,Knoxville,Women's Apparel,37.00,306.00,1132.00,668.00,Outlet
West Gear,1128299.00,44393.00,South,Louisiana,New Orleans,Men's Street Footwear,62.00,306.00,1897.00,816.00,Outlet
Foot Locker,1185732.00,43899.00,Northeast,New York,New York,Women's Apparel,64.00,305.00,1952.00,761.00,Online
Walmart,1197831.00,44073.00,South,Texas,Houston,Men's Street Footwear,27.00,305.00,824.00,305.00,Outlet
Walmart,1197831.00,44074.00,South,Texas,Houston,Men's Athletic Footwear,33.00,305.00,1007.00,382.00,Outlet
Foot Locker,1197831.00,44416.00,West,Idaho,Boise,Women's Street Footwear,39.00,305.00,1190.00,511.00,Outlet
West Gear,1185732.00,44091.00,Southeast,Florida,Miami,Men's Street Footwear,60.00,304.00,1824.00,1040.00,Online
Walmart,1197831.00,44072.00,South,Texas,Houston,Women's Apparel,36.00,302.00,1087.00,565.00,Outlet
West Gear,1128299.00,44214.00,West,California,San Francisco,Men's Street Footwear,45.00,302.00,1359.00,544.00,Outlet
Sports Direct,1197831.00,44287.00,South,Tennessee,Knoxville,Men's Apparel,30.00,300.00,9000.00,3150.00,Outlet
Sports Direct,1197831.00,44467.00,South,Alabama,Birmingham,Men's Apparel,30.00,300.00,9000.00,4050.00,Outlet
Foot Locker,1185732.00,44335.00,Midwest,Missouri,St. Louis,Women's Street Footwear,30.00,300.00,9000.00,3150.00,In-store
Foot Locker,1185732.00,44458.00,Midwest,Missouri,St. Louis,Women's Street Footwear,15.00,300.00,4500.00,1575.00,In-store
West Gear,1185732.00,44238.00,West,Utah,Salt Lake City,Women's Athletic Footwear,20.00,300.00,6000.00,2400.00,In-store
West Gear,1185732.00,44480.00,West,Utah,Salt Lake City,Women's Street Footwear,20.00,300.00,6000.00,2100.00,In-store
Amazon,1185732.00,44218.00,Midwest,Ohio,Columbus,Women's Street Footwear,30.00,300.00,9000.00,3600.00,Online
Foot Locker,1185732.00,44303.00,South,Mississippi,Jackson,Women's Athletic Footwear,20.00,300.00,6000.00,2400.00,Online
Sports Direct,1197831.00,44219.00,South,Mississippi,Jackson,Women's Athletic Footwear,20.00,300.00,6000.00,2400.00,Online
Walmart,1197831.00,44306.00,South,Arkansas,Little Rock,Men's Athletic Footwear,25.00,300.00,7500.00,2625.00,Online
Walmart,1197831.00,44306.00,South,Arkansas,Little Rock,Women's Street Footwear,15.00,300.00,4500.00,1800.00,Online
Walmart,1197831.00,44490.00,South,Arkansas,Little Rock,Women's Street Footwear,20.00,300.00,6000.00,2400.00,Online
Kohl's,1197831.00,44520.00,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,15.00,300.00,4500.00,1575.00,Online
Kohl's,1197831.00,44241.00,South,Oklahoma,Oklahoma City,Women's Street Footwear,15.00,300.00,4500.00,1575.00,Online
Kohl's,1197831.00,44299.00,Midwest,Kansas,Wichita,Women's Apparel,30.00,300.00,9000.00,3150.00,Online
Foot Locker,1197831.00,44483.00,Midwest,Kansas,Wichita,Women's Apparel,30.00,300.00,9000.00,3150.00,Online
West Gear,1185732.00,44350.00,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,30.00,300.00,9000.00,3150.00,In-store
West Gear,1185732.00,44206.00,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,25.00,300.00,7500.00,2625.00,In-store
West Gear,1185732.00,44237.00,Midwest,Indiana,Indianapolis,Women's Apparel,20.00,300.00,6000.00,2400.00,In-store
West Gear,1185732.00,44213.00,Midwest,Indiana,Indianapolis,Women's Street Footwear,25.00,300.00,7500.00,3000.00,In-store
West Gear,1185732.00,44244.00,Midwest,Indiana,Indianapolis,Women's Street Footwear,30.00,300.00,9000.00,3600.00,In-store
Sports Direct,1185732.00,44203.00,Northeast,New Jersey,Newark,Women's Street Footwear,30.00,300.00,9000.00,2700.00,In-store
Foot Locker,1185732.00,43861.00,Northeast,New York,New York,Men's Street Footwear,45.00,300.00,1350.00,837.00,Online
Walmart,1185732.00,43955.00,Northeast,New York,New York,Men's Athletic Footwear,51.00,300.00,1530.00,643.00,Online
West Gear,1185732.00,43945.00,Southeast,Florida,Miami,Men's Street Footwear,52.00,300.00,1560.00,874.00,Online
Walmart,1185732.00,43948.00,Northeast,New York,New York,Men's Street Footwear,60.00,299.00,1794.00,1076.00,Online
West Gear,1185732.00,44085.00,Southeast,Florida,Miami,Men's Street Footwear,60.00,299.00,1794.00,1076.00,Online
Walmart,1197831.00,44084.00,South,Texas,Houston,Women's Apparel,42.00,298.00,1252.00,713.00,Outlet
Walmart,1197831.00,44132.00,South,Texas,Houston,Women's Street Footwear,38.00,298.00,1132.00,430.00,Outlet
West Gear,1128299.00,44400.00,West,Oregon,Portland,Men's Street Footwear,60.00,298.00,1788.00,751.00,Outlet
Walmart,1197831.00,44075.00,South,Texas,Houston,Women's Street Footwear,39.00,297.00,1158.00,533.00,Online
Foot Locker,1185732.00,43897.00,Northeast,New York,New York,Women's Athletic Footwear,38.00,297.00,1129.00,429.00,Outlet
Kohl's,1189833.00,44305.00,West,California,Los Angeles,Men's Street Footwear,36.00,297.00,1069.00,470.00,Outlet
Walmart,1128299.00,44393.00,Southeast,Florida,Orlando,Men's Street Footwear,68.00,297.00,2020.00,747.00,Outlet
Foot Locker,1185732.00,43868.00,Northeast,New York,New York,Men's Athletic Footwear,37.00,296.00,1095.00,383.00,Outlet
Foot Locker,1185732.00,43896.00,Northeast,New York,New York,Women's Street Footwear,37.00,296.00,1095.00,449.00,Outlet
Foot Locker,1185732.00,44518.00,Midwest,Missouri,St. Louis,Women's Street Footwear,25.00,295.00,7375.00,2581.00,In-store
Foot Locker,1185732.00,43902.00,Northeast,New York,New York,Women's Street Footwear,35.00,295.00,1033.00,434.00,Outlet
Walmart,1197831.00,44060.00,South,Texas,Houston,Women's Apparel,32.00,295.00,944.00,538.00,Outlet
Walmart,1197831.00,44061.00,South,Texas,Houston,Men's Street Footwear,28.00,295.00,826.00,339.00,Outlet
Walmart,1197831.00,44067.00,South,Texas,Houston,Men's Street Footwear,29.00,295.00,856.00,342.00,Outlet
Sports Direct,1185732.00,44379.00,Southeast,North Carolina,Charlotte,Men's Street Footwear,60.00,294.00,1764.00,882.00,Online
Walmart,1185732.00,43950.00,Northeast,New York,New York,Women's Street Footwear,43.00,294.00,1264.00,531.00,Outlet
Walmart,1197831.00,44072.00,South,Texas,Houston,Women's Apparel,47.00,293.00,1377.00,868.00,Online
West Gear,1128299.00,44238.00,West,California,San Francisco,Men's Street Footwear,51.00,293.00,1494.00,598.00,Online
Foot Locker,1185732.00,43854.00,Northeast,New York,New York,Women's Apparel,48.00,290.00,1392.00,529.00,Online
Foot Locker,1185732.00,43893.00,Northeast,New York,New York,Women's Apparel,59.00,290.00,1711.00,616.00,Online
Walmart,1185732.00,43939.00,Northeast,New York,New York,Women's Apparel,62.00,290.00,1798.00,665.00,Online
Walmart,1185732.00,43947.00,Northeast,New York,New York,Women's Apparel,68.00,290.00,1972.00,749.00,Online
Walmart,1185732.00,44030.00,Northeast,New York,New York,Women's Apparel,68.00,290.00,1972.00,690.00,Online
West Gear,1185732.00,43945.00,Southeast,Florida,Miami,Men's Street Footwear,55.00,290.00,1595.00,941.00,Online
Foot Locker,1185732.00,44535.00,Southeast,South Carolina,Charleston,Men's Street Footwear,67.00,290.00,1943.00,1166.00,Online
Foot Locker,1185732.00,43859.00,Northeast,New York,New York,Men's Apparel,43.00,289.00,1243.00,398.00,Outlet
Foot Locker,1185732.00,43864.00,Northeast,New York,New York,Women's Athletic Footwear,31.00,289.00,896.00,331.00,Outlet
Foot Locker,1185732.00,43870.00,Northeast,New York,New York,Women's Athletic Footwear,33.00,289.00,954.00,381.00,Outlet
Walmart,1185732.00,43946.00,Northeast,New York,New York,Men's Apparel,51.00,289.00,1474.00,472.00,Outlet
Sports Direct,1197831.00,44038.00,South,Texas,Houston,Men's Athletic Footwear,23.00,289.00,665.00,279.00,Outlet
Walmart,1197831.00,44129.00,South,Texas,Houston,Women's Apparel,44.00,289.00,1272.00,725.00,Outlet
West Gear,1128299.00,44142.00,West,California,San Francisco,Men's Street Footwear,28.00,289.00,809.00,340.00,Outlet
West Gear,1128299.00,44226.00,West,California,San Francisco,Men's Street Footwear,36.00,289.00,1040.00,343.00,Outlet
